id,run,city,start_time,end_time,player_dir,tmy,month,slack_node,flexible_houses,PV_share,EV_share,Batt_share,line_capacity,market_data,EV_data,p_max,load_forecast,unresp_factor,fixed_tariff,interval,allocation_rule,delta,ref_price,price_intervals,which_price,include_SO,prec,M,Comment
0,Paper,Austin,2016-01-10 00:00,2016-01-18 00:00,players_Austin,722540TYA.tmy3,Jan,node_149,0,0,0,0,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,for baseload
1,Paper,Austin,2016-07-10 00:00,2016-07-18 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0,0,0,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,for baseload
2,Paper,Austin,2016-10-09 00:00,2016-10-17 00:00,players_Austin,722540TYA.tmy3,Oct,node_149,0,0,0,0,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,for baseload
3,Paper,Austin,2016-01-10 00:00,2016-01-18 00:00,players_Austin,722540TYA.tmy3,Jan,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,
4,Paper,Austin,2016-07-10 00:00,2016-07-18 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,
5,Paper,Austin,2016-10-09 00:00,2016-10-17 00:00,players_Austin,722540TYA.tmy3,Oct,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,100,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,
6,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,perfect,0,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,with forward prices
7,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,perfect,0,FALSE,300,by_award,3,historical,288,RT,FALSE,4,10000,with historical prices
8,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,437,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,myopic,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,Check max power
9,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,myopic,1,FALSE,300,by_award,3,none,12,DA,FALSE,4,10000,no market
10,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,myopic,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,market; Evs not in market
11,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0.1,1000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,myopic,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,market; Evs not in market
12,Paper,Austin,2016-07-01 00:00,2016-08-01 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,1,0,0,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,myopic,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,get PV production
13,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,perfect,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,"market, min PV"
14,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0.1,1000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,perfect,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,
15,Paper,Austin,2016-07-15 00:00,2016-07-17 00:00,players_Austin,722540TYA.tmy3,Jul,node_149,0,0.25,0.1,0.1,5000,Ercot_HBSouth.csv,EV_events_2016_july_Austin.csv,10000,perfect,1,FALSE,300,by_award,3,forward,12,DA,FALSE,4,10000,ToU